Ders Kodu,Ders Adı,Kredi,AKTS
"İSEÇ310","Çağdaş Yönetim Teknikleri",3,4
"İSEÇ318","Girişimcilik",3,4
"İSEÇ324","Modern Üretim Teknikleri",3,4
"İSEÇ320","Örgüt Geliştirme",3,4
"İSEÇ312","Örgüt Kültürü",3,4
"İSEÇ316","Satış Yönetimi",3,4
"İSEÇ322","Sürdürülebilir Kalkınma",3,4
"ÜSD","Üniversite Seçmeli III",2,3
"İŞL401","Mali Tablolar Analizi",4,7
"İŞL403","Uluslararası İşletme Yönetimi",3,6
"İŞL405","Üretim Yönetimi I",3,6
"İSEÇ409","Dağıtım Kanalları",3,4
"İSEÇ411","Dünya Ekonomisi",3,4
"FSEÇ425","Ekonomik Bütünleşme ve AB",3,4
"İSEÇ417","Finansal Vaka Analizi",3,4
"İSEÇ421","İşletmelerde Bilgi Sistemleri",3,4
"İSEÇ419","Kurumsal Girişimcilik",3,4
"İSEÇ425","Kurumsal İtibar Yönetimi",3,4
"İSEÇ413","Küresel Dünyada Göç",3,4
"İSEÇ423","Modern Liderlik Teorileri",3,4
"İSEÇ407","Tüketici Davranışları",3,4
"ÜSD","Üniversite Seçmeli IV",2,3
"İSEÇ415","Yatırım ve Proje Yönetimi",3,4
"İŞL402","Denetim",4,7
"İŞL406","Stratejik Yönetim",3,6
"İŞL404","Üretim Yönetimi II",3,6
"İSEÇ410","Hizmet Pazarlaması",3,4
"İSEÇ412","İşletmelerde Yasal İşlemler",3,4
"İSEÇ414","Kurumsal Sosyal Sorumluluk ve İş Ahlakı",3,4
"İSEÇ416","Örgüt Kuramı",3,4
"İSEÇ408","Uluslararası Finansal Yönetim",3,4
"ÜSD","Üniversite Seçmeli V",2,3
"İSEÇ412","Yenilik Yönetimi",3,4
"Kod","Ders Adı","Kredi","AKTS"
"IKT1203","İKTİSADA GİRİŞ",3,5
"ISL1001","İŞLETME I",3,5
"ISL1003","KARİYER PLANLAMA",1,1
"ISL1201","MUHASEBE I",3,5
"ISL1401","İŞLETME MATEMATIĞI I",3,5
"KAM1103","SOSYOLOJİ",3,4
"ATA101","ATATÜRK İLKELERİ VE İNKILAP TARİHİ I",2,2
"TUD101","TÜRK DİLİ I",2,2
"YAD101","YABANCI DİL I (İNGİLİZCE)",2,2
"IKT1204","MİKRO İKTİSAT",3,5
"ISL1002","İŞLETME II",3,5
"ISL1202","MUHASEBE II",3,5
"ISL1402","İŞLETME MATEMATIĞI II",3,5
"KAM1404","HUKUKA GİRİŞ",3,4
"ATA102","ATATÜRK İLKELERİ VE İNKILAP TARİHİ II",2,2
"TUD102","TÜRK DİLİ II",2,2
"YAD102","YABANCI DİL II (İNGİLİZCE)",2,2
"EKO2207","BETİMSEL İSTATİSTİK",3,5
"IKT2105","MAKRO İKTİSAT",3,5
"ISL2101","YÖNETİM",3,5
"ISL2213","MALİ TABLOLAR ANALİZİ",3,5
"ISL2301","TÜKETİCİ DAVRANIŞLARI",3,5
"CAL2202","İŞ HUKUKU",3,5
"EKO2204","ÇIKARIMSAL İSTATİSTİK",3,5
"ISL2104","ORGANİZASYON TEORİSİ",3,5
"ISL2212","FİNANSA GİRİŞ",3,5
"MLY2406","TÜRK VERGİ SİSTEMİ",3,5
"ISL3105","İNSAN KAYNAKLARI YÖNETİMİ",3,5
"ISL3201","FİNANSAL YÖNETİM",3,5
"ISL3205","MALİYET MUHASEBESİ",3,5
"ISL3301","PAZARLAMA YÖNETİMİ",3,5
"ISL3006","ARAŞTIRMA YÖNTEMLERİ",3,5
"ISL3208","YÖNETİM MUHASEBESİ",3,5
"ISL3304","ÜRETİM YÖNETİMİ",3,5
"ISL3502","TİCARET HUKUKU",3,5
"ISL4003","GÜNCEL KONULAR",3,5
"ISL4101","ÖRGÜTSEL DAVRANIŞ",3,5
"ISL4401","SAYISAL YÖNTEMLER I",3,5
"ISL4302","ÜRETİM PLANLAMA",3,5
"ISL4316","PAZARLAMA STRATEJİLERİ",3,5
"ISL4402","SAYISAL YÖNTEMLER II",3,5
"CAL2101","SOSYAL POLİTİKA",3,5
"EKO2003","OFİS PROGRAMLARI HESAP TABLOLARI",3,5
"ISL2203","FİNANS MATEMATİĞİ",3,5
"ISL2205","ENVANTER İŞLEMLERİ",3,5
"ISL2207","ŞİRKETLER MUHASEBESİ",3,5
"ISL2301","TURİZM İŞLETMECİLİĞİ",3,5
"ISL2311","GİRİŞİMCİLİK",3,5
"KAM2203","KAMU YÖNETİMİ",3,5
"MLY2107","KAMU MALİYESİ",3,5
"EKO2004","OFİS PROGRAMLARI -KELİME İŞLEM",3,5
"EKO2206","NİCEL VERİ ANALİZİ",3,5

